question_text,document_title,language,annotations,document_plaintext,document_url,question_text_tokenized,document_plaintext_tokenized,label,word_frequency_score
Kauanko lasia on valmistettu?,Lasi,finnish,"{'answer_start': array([160]), 'answer_text': array(['noin vuonna 4000 eaa'], dtype=object)}","Vanhin tunnettu lasilaatu on alkali­kalkki­lasi, jota valmistetaan soodan, hiekan ja kalkin seoksesta. Egyptissä siitä valmistettiin lasitettuja kivi­helmiä jo noin vuonna 4000 eaa.[8] Jo varhain havaittiin, että lasi voitiin saada värilliseksi lisäämällä siihen eri malmeja. Tällaista värillistä lasia käytettiin keramiikan lasitukseen sekä jalokivien jäljitelmiin.[8]",https://fi.wikipedia.org/wiki/Lasi,"['Kauanko', 'lasia', 'on', 'valmistettu', '?']","['Vanhin', 'tunnettu', 'lasilaatu', 'on', 'alkali\xadkalkki\xadlasi', ',', 'jota', 'valmistetaan', 'soodan', ',', 'hiekan', 'ja', 'kalkin', 'seoksesta.', 'Egyptissä', 'siitä', 'valmistettiin', 'lasitettuja', 'kivi\xadhelmiä', 'jo', 'noin', 'vuonna', '4000', 'eaa.', '[', '8', ']', 'Jo', 'varhain', 'havaittiin', ',', 'että', 'lasi', 'voitiin', 'saada', 'värilliseksi', 'lisäämällä', 'siihen', 'eri', 'malmeja.', 'Tällaista', 'värillistä', 'lasia', 'käytettiin', 'keramiikan', 'lasitukseen', 'sekä', 'jalokivien', 'jäljitelmiin.', '[', '8', ']']",1,0.4
Mikä on Ponzi-huijaus?,Ponzi-huijaus,finnish,"{'answer_start': array([39]), 'answer_text': array(['pyramidihuijauksen muoto, jossa joku kerää pääomia kuviteltua tai olemassa olevaa sijoituskohdetta varten luvaten sijoituksille nopeaa ja korkeaa tuottoa'],
      dtype=object)}","Ponzi-huijaus eli Ponzi-järjestelmä on pyramidihuijauksen muoto, jossa joku kerää pääomia kuviteltua tai olemassa olevaa sijoituskohdetta varten luvaten sijoituksille nopeaa ja korkeaa tuottoa: korkeampaa kuin mistään muusta sijoitustoiminnasta on mahdollista saada. Sijoituskohde voi olla kultavaranto, kaivos, öljyesiintymä, lomaosake tai mikä tahansa tuottoisalta kuulostava kohde. Todellisuudessa mitään laillista liiketoimintaa ei harjoiteta tai se on vähäistä.",https://fi.wikipedia.org/wiki/Ponzi-huijaus,"['Mikä', 'on', 'Ponzi-huijaus', '?']","['Ponzi-huijaus', 'eli', 'Ponzi-järjestelmä', 'on', 'pyramidihuijauksen', 'muoto', ',', 'jossa', 'joku', 'kerää', 'pääomia', 'kuviteltua', 'tai', 'olemassa', 'olevaa', 'sijoituskohdetta', 'varten', 'luvaten', 'sijoituksille', 'nopeaa', 'ja', 'korkeaa', 'tuottoa', ':', 'korkeampaa', 'kuin', 'mistään', 'muusta', 'sijoitustoiminnasta', 'on', 'mahdollista', 'saada.', 'Sijoituskohde', 'voi', 'olla', 'kultavaranto', ',', 'kaivos', ',', 'öljyesiintymä', ',', 'lomaosake', 'tai', 'mikä', 'tahansa', 'tuottoisalta', 'kuulostava', 'kohde.', 'Todellisuudessa', 'mitään', 'laillista', 'liiketoimintaa', 'ei', 'harjoiteta', 'tai', 'se', 'on', 'vähäistä', '.']",1,0.5
Mikä oli Napoleonin sotien lopputulos?,Napoleonin sodat,finnish,"{'answer_start': array([15]), 'answer_text': array(['Ranska alistettiin kovilla rauhanehdoilla ja Ranskan hallintoa säädeltiin monilla tavoin, esimerkiksi armeijan kokoa supistettiin ja erityisesti naapurimaat valvoivat Ranskaa tiukasti'],
      dtype=object)}","Sotien jälkeen Ranska alistettiin kovilla rauhanehdoilla ja Ranskan hallintoa säädeltiin monilla tavoin, esimerkiksi armeijan kokoa supistettiin ja erityisesti naapurimaat valvoivat Ranskaa tiukasti.",https://fi.wikipedia.org/wiki/Napoleonin%20sodat,"['Mikä', 'oli', 'Napoleonin', 'sotien', 'lopputulos', '?']","['Sotien', 'jälkeen', 'Ranska', 'alistettiin', 'kovilla', 'rauhanehdoilla', 'ja', 'Ranskan', 'hallintoa', 'säädeltiin', 'monilla', 'tavoin', ',', 'esimerkiksi', 'armeijan', 'kokoa', 'supistettiin', 'ja', 'erityisesti', 'naapurimaat', 'valvoivat', 'Ranskaa', 'tiukasti', '.']",1,0.0
Missä Kokemäenjoki sijaitsee?,Kokemäenjoki,finnish,"{'answer_start': array([114]), 'answer_text': array(['Kokemäenjoki alkaa Sastamalan Liekovedestä, kulkee Huittisten, Kokemäen, Harjavallan, Nakkilan ja Ulvilan kautta, virtaa Porin sivuitse neljänä suuhaarana ja yhtyy Selkämereen Pihlavanlahdella'],
      dtype=object)}","Kokemäenjoki () on Satakunnan ja Pirkanmaan maakuntien suurin joki, joka on myös Kokemäenjoen vesistön laskujoki. Kokemäenjoki alkaa Sastamalan Liekovedestä, kulkee Huittisten, Kokemäen, Harjavallan, Nakkilan ja Ulvilan kautta, virtaa Porin sivuitse neljänä suuhaarana ja yhtyy Selkämereen Pihlavanlahdella.",https://fi.wikipedia.org/wiki/Kokem%C3%A4enjoki,"['Missä', 'Kokemäenjoki', 'sijaitsee', '?']","['Kokemäenjoki', '(', ')', 'on', 'Satakunnan', 'ja', 'Pirkanmaan', 'maakuntien', 'suurin', 'joki', ',', 'joka', 'on', 'myös', 'Kokemäenjoen', 'vesistön', 'laskujoki.', 'Kokemäenjoki', 'alkaa', 'Sastamalan', 'Liekovedestä', ',', 'kulkee', 'Huittisten', ',', 'Kokemäen', ',', 'Harjavallan', ',', 'Nakkilan', 'ja', 'Ulvilan', 'kautta', ',', 'virtaa', 'Porin', 'sivuitse', 'neljänä', 'suuhaarana', 'ja', 'yhtyy', 'Selkämereen', 'Pihlavanlahdella', '.']",1,0.25
Mitkä ovat autonomisen hermoston kaksi osaa?,Autonominen hermosto,finnish,"{'answer_start': array([303]), 'answer_text': array(['sympaattiseen ja parasympaattiseen hermostoon'], dtype=object)}","Autonominen hermosto eli tahdosta riippumaton hermosto (myös vegetatiivinen hermosto) () vaikuttaa sileän lihaksiston ja sydänlihaksen liikkeisiin sekä rauhasten eritykseen. Autonominen hermosto osallistuu moniin elimistön säätelytoimintoihin, kuten verenpaineen säätelyyn. Autonominen hermosto jaetaan sympaattiseen ja parasympaattiseen hermostoon.[1]",https://fi.wikipedia.org/wiki/Autonominen%20hermosto,"['Mitkä', 'ovat', 'autonomisen', 'hermoston', 'kaksi', 'osaa', '?']","['Autonominen', 'hermosto', 'eli', 'tahdosta', 'riippumaton', 'hermosto', '(', 'myös', 'vegetatiivinen', 'hermosto', ')', '(', ')', 'vaikuttaa', 'sileän', 'lihaksiston', 'ja', 'sydänlihaksen', 'liikkeisiin', 'sekä', 'rauhasten', 'eritykseen.', 'Autonominen', 'hermosto', 'osallistuu', 'moniin', 'elimistön', 'säätelytoimintoihin', ',', 'kuten', 'verenpaineen', 'säätelyyn.', 'Autonominen', 'hermosto', 'jaetaan', 'sympaattiseen', 'ja', 'parasympaattiseen', 'hermostoon.', '[', '1', ']']",1,0.0
Minä vuonna Charles Darwin julkaisi kuuluisan teoriansa lajien synnystä?,Charles Darwin,finnish,"{'answer_start': array([719]), 'answer_text': array(['1859'], dtype=object)}","Kirjoittaessaan vuonna 1858 teoriaansa Darwin sai Alfred Russel Wallacen hänelle lähettämän esseen käsikirjoituksen, jossa Wallace kuvailee kehittelemäänsä teoriaa. Se vaikutti hämmästyttävän samanlaiselta kuin Darwinin teoria. Hänen 20 vuoden uurastuksensa oli vaarassa mennä hukkaan, jos Wallacen esseen käsikirjoitus julkaistaisiin ensin. Darwinin tieteelliset ystävät ratkaisivat prioriteettiongelman siten, että sekä Darwinin että Wallacen luonnonvalintaa koskevia käsikirjoituksia luettiin Lontoossa Linnean Societyn kokouksessa 1. heinäkuuta 1858. Kumpikaan ei ollut henkilökohtaisesti paikalla tilaisuudessa. Tämän jälkeen Darwin kiiruhti työnsä julkaisua, ja hänen pääteoksensa Lajien synty julkaistiin vuonna 1859.[7]",https://fi.wikipedia.org/wiki/Charles%20Darwin,"['Minä', 'vuonna', 'Charles', 'Darwin', 'julkaisi', 'kuuluisan', 'teoriansa', 'lajien', 'synnystä', '?']","['Kirjoittaessaan', 'vuonna', '1858', 'teoriaansa', 'Darwin', 'sai', 'Alfred', 'Russel', 'Wallacen', 'hänelle', 'lähettämän', 'esseen', 'käsikirjoituksen', ',', 'jossa', 'Wallace', 'kuvailee', 'kehittelemäänsä', 'teoriaa.', 'Se', 'vaikutti', 'hämmästyttävän', 'samanlaiselta', 'kuin', 'Darwinin', 'teoria.', 'Hänen', '20', 'vuoden', 'uurastuksensa', 'oli', 'vaarassa', 'mennä', 'hukkaan', ',', 'jos', 'Wallacen', 'esseen', 'käsikirjoitus', 'julkaistaisiin', 'ensin.', 'Darwinin', 'tieteelliset', 'ystävät', 'ratkaisivat', 'prioriteettiongelman', 'siten', ',', 'että', 'sekä', 'Darwinin', 'että', 'Wallacen', 'luonnonvalintaa', 'koskevia', 'käsikirjoituksia', 'luettiin', 'Lontoossa', 'Linnean', 'Societyn', 'kokouksessa', '1.', 'heinäkuuta', '1858.', 'Kumpikaan', 'ei', 'ollut', 'henkilökohtaisesti', 'paikalla', 'tilaisuudessa.', 'Tämän', 'jälkeen', 'Darwin', 'kiiruhti', 'työnsä', 'julkaisua', ',', 'ja', 'hänen', 'pääteoksensa', 'Lajien', 'synty', 'julkaistiin', 'vuonna', '1859.', '[', '7', ']']",1,0.2
Missä Mika Waltari on syntynyt?,Mika Waltari,finnish,"{'answer_start': array([41]), 'answer_text': array(['Helsinki'], dtype=object)}","

Mika Toimi Waltari (19. syyskuuta 1908 Helsinki, Suomen suuriruhtinaskunta – 26. elokuuta 1979 Helsinki, Suomi) oli merkittävä suomalainen kirjailija. Tavattoman tuotteliaana tunnetun Waltarin julkaisuluettelo käsittää romaaneja, runoja, novelleja, pienoisromaaneja, satuja, näytelmiä, kuunnelmia, propagandamateriaalia, arvosteluja, elokuvakäsikirjoituksia, matkakertomuksia ja sarjakuvariimejä.[1]",https://fi.wikipedia.org/wiki/Mika%20Waltari,"['Missä', 'Mika', 'Waltari', 'on', 'syntynyt', '?']","['Mika', 'Toimi', 'Waltari', '(', '19.', 'syyskuuta', '1908', 'Helsinki', ',', 'Suomen', 'suuriruhtinaskunta', '–', '26.', 'elokuuta', '1979', 'Helsinki', ',', 'Suomi', ')', 'oli', 'merkittävä', 'suomalainen', 'kirjailija.', 'Tavattoman', 'tuotteliaana', 'tunnetun', 'Waltarin', 'julkaisuluettelo', 'käsittää', 'romaaneja', ',', 'runoja', ',', 'novelleja', ',', 'pienoisromaaneja', ',', 'satuja', ',', 'näytelmiä', ',', 'kuunnelmia', ',', 'propagandamateriaalia', ',', 'arvosteluja', ',', 'elokuvakäsikirjoituksia', ',', 'matkakertomuksia', 'ja', 'sarjakuvariimejä.', '[', '1', ']']",1,0.3333333333333333
Kuinka pitkä Pyhäjärvi on?,Pyhäjärvi (Tampere),finnish,"{'answer_start': array([162]), 'answer_text': array(['50 kilometriä'], dtype=object)}","Pyhäjärven muoto on pitkien niemien ja saarien erikokoisiin selkiin jakama pitkä ja kaarevan muotoinen järvi. Järven pituus on sen kaarevaa muotoa seuraten vajaa 50 kilometriä. Järven pohjoisosan jakaa kahtia suuri saari Luoto, jonka pohjoispäässä on Sotkan taajaman kohdalla alle 50 metriä leveä salmi. Saaren eteläpäässä kulkee toinen yli 50 metriä leveä salmi Kaivanto. Tampereen ja Pirkkalan väliin sekä valtatien 3 katkaisemana Pyhäjärveen aukeaa laaja kymmenen kilometriä pitkä ja kolme kilometriä leveä selkä. Tampereen kautta järveen laskee Tammerkosken kautta tähän järvenosaan Näsijärven vedet. Tammerkosken viereen laskee Viinikanoja ja, siitä vähän etelämmäksi, Vihioja vetensä. Tampereen ja Pirkkalan kaupunkien rajaojana toimii Härmälänoja. Tämän vesialueen kaikki rannat ovat pieniä poikkeuksia lukuun ottamatta rakennettuja. Valtatie 3 lounaispuolelle jää seitsemän kilometriä pitkä ja enimmillään kolme kilometriä leveä järvenosa, jonka eteläinen osa on nimeltään Saviselkä. Nokialla ja Pirkkalankylää vastapäätä sijaitsee Pyhäjärven laskujoen Nokianvirran luusua ja sitä vastapäätä järveen laskee Savijoki. Pohjoisesta järveen laskee Vihnusjärven kautta Myllypuro ja Leppioja. Nokianvirtaan laskee suoraan Laajanoja pohjoisesta. Tämän järvenosan pohjoisrannat ovat lähes kaikki rakennettuja.[1][5]",https://fi.wikipedia.org/wiki/Pyh%C3%A4j%C3%A4rvi%20%28Tampere%29,"['Kuinka', 'pitkä', 'Pyhäjärvi', 'on', '?']","['Pyhäjärven', 'muoto', 'on', 'pitkien', 'niemien', 'ja', 'saarien', 'erikokoisiin', 'selkiin', 'jakama', 'pitkä', 'ja', 'kaarevan', 'muotoinen', 'järvi.', 'Järven', 'pituus', 'on', 'sen', 'kaarevaa', 'muotoa', 'seuraten', 'vajaa', '50', 'kilometriä.', 'Järven', 'pohjoisosan', 'jakaa', 'kahtia', 'suuri', 'saari', 'Luoto', ',', 'jonka', 'pohjoispäässä', 'on', 'Sotkan', 'taajaman', 'kohdalla', 'alle', '50', 'metriä', 'leveä', 'salmi.', 'Saaren', 'eteläpäässä', 'kulkee', 'toinen', 'yli', '50', 'metriä', 'leveä', 'salmi', 'Kaivanto.', 'Tampereen', 'ja', 'Pirkkalan', 'väliin', 'sekä', 'valtatien', '3', 'katkaisemana', 'Pyhäjärveen', 'aukeaa', 'laaja', 'kymmenen', 'kilometriä', 'pitkä', 'ja', 'kolme', 'kilometriä', 'leveä', 'selkä.', 'Tampereen', 'kautta', 'järveen', 'laskee', 'Tammerkosken', 'kautta', 'tähän', 'järvenosaan', 'Näsijärven', 'vedet.', 'Tammerkosken', 'viereen', 'laskee', 'Viinikanoja', 'ja', ',', 'siitä', 'vähän', 'etelämmäksi', ',', 'Vihioja', 'vetensä.', 'Tampereen', 'ja', 'Pirkkalan', 'kaupunkien', 'rajaojana', 'toimii', 'Härmälänoja.', 'Tämän', 'vesialueen', 'kaikki', 'rannat', 'ovat', 'pieniä', 'poikkeuksia', 'lukuun', 'ottamatta', 'rakennettuja.', 'Valtatie', '3', 'lounaispuolelle', 'jää', 'seitsemän', 'kilometriä', 'pitkä', 'ja', 'enimmillään', 'kolme', 'kilometriä', 'leveä', 'järvenosa', ',', 'jonka', 'eteläinen', 'osa', 'on', 'nimeltään', 'Saviselkä.', 'Nokialla', 'ja', 'Pirkkalankylää', 'vastapäätä', 'sijaitsee', 'Pyhäjärven', 'laskujoen', 'Nokianvirran', 'luusua', 'ja', 'sitä', 'vastapäätä', 'järveen', 'laskee', 'Savijoki.', 'Pohjoisesta', 'järveen', 'laskee', 'Vihnusjärven', 'kautta', 'Myllypuro', 'ja', 'Leppioja.', 'Nokianvirtaan', 'laskee', 'suoraan', 'Laajanoja', 'pohjoisesta.', 'Tämän', 'järvenosan', 'pohjoisrannat', 'ovat', 'lähes', 'kaikki', 'rakennettuja.', '[', '1', ']', '[', '5', ']']",1,0.4
Minkä ikäisenä Aleksis Kivi kuoli?,Aleksis Kivi,finnish,"{'answer_start': array([369]), 'answer_text': array(['38-vuotiaana'], dtype=object)}","Kivi oli puhekykyinen vielä kesäkuussa sairaalaan joutuessaan, mutta menetti syksyn aikana puhe- ja liikuntakykynsä eikä tunnistanut lopulta edes veljeään. Kivi kotiutettiin helmikuussa 1872 lääkäreiden havaittua, ettei hoidoilla ollut suotuista vaikutusta potilaan kuntoon. Alpertti-veli otti hänet tuolloin asumaan luokseen Tuusulan Syvälahteen, jossa hän kuoli vain 38-vuotiaana joulukuussa 1872.[14]",https://fi.wikipedia.org/wiki/Aleksis%20Kivi,"['Minkä', 'ikäisenä', 'Aleksis', 'Kivi', 'kuoli', '?']","['Kivi', 'oli', 'puhekykyinen', 'vielä', 'kesäkuussa', 'sairaalaan', 'joutuessaan', ',', 'mutta', 'menetti', 'syksyn', 'aikana', 'puhe-', 'ja', 'liikuntakykynsä', 'eikä', 'tunnistanut', 'lopulta', 'edes', 'veljeään.', 'Kivi', 'kotiutettiin', 'helmikuussa', '1872', 'lääkäreiden', 'havaittua', ',', 'ettei', 'hoidoilla', 'ollut', 'suotuista', 'vaikutusta', 'potilaan', 'kuntoon.', 'Alpertti-veli', 'otti', 'hänet', 'tuolloin', 'asumaan', 'luokseen', 'Tuusulan', 'Syvälahteen', ',', 'jossa', 'hän', 'kuoli', 'vain', '38-vuotiaana', 'joulukuussa', '1872.', '[', '14', ']']",1,0.3333333333333333
Minä vuonna Euroviisut järjestettiin ensimmäisen kerran?,Eurovision laulukilpailu,finnish,"{'answer_start': array([73]), 'answer_text': array(['1956'], dtype=object)}",Ensimmäinen Eurovision laulukilpailu pidettiin Sveitsin Luganossa vuonna 1956. Idean isä oli EBU:n ranskalainen voimahahmo Marcel Bezençon. EBU:n perustajayhtiöillä oli tarve keksiä kaikkia jäsenmaita kiinnostavia televisio-ohjelmia.[14] Pienin yhteinen nimittäjä löytyi laulukilpailusta ja esikuvana oli 1951 alkanut Italian valtion TV-yhtiö RAI:n ja Sanremon kasinon järjestämä kansallinen laulukilpailu Festival di Sanremo. ,https://fi.wikipedia.org/wiki/Eurovision%20laulukilpailu,"['Minä', 'vuonna', 'Euroviisut', 'järjestettiin', 'ensimmäisen', 'kerran', '?']","['Ensimmäinen', 'Eurovision', 'laulukilpailu', 'pidettiin', 'Sveitsin', 'Luganossa', 'vuonna', '1956.', 'Idean', 'isä', 'oli', 'EBU', ':', 'n', 'ranskalainen', 'voimahahmo', 'Marcel', 'Bezençon.', 'EBU', ':', 'n', 'perustajayhtiöillä', 'oli', 'tarve', 'keksiä', 'kaikkia', 'jäsenmaita', 'kiinnostavia', 'televisio-ohjelmia.', '[', '14', ']', 'Pienin', 'yhteinen', 'nimittäjä', 'löytyi', 'laulukilpailusta', 'ja', 'esikuvana', 'oli', '1951', 'alkanut', 'Italian', 'valtion', 'TV-yhtiö', 'RAI', ':', 'n', 'ja', 'Sanremon', 'kasinon', 'järjestämä', 'kansallinen', 'laulukilpailu', 'Festival', 'di', 'Sanremo', '.']",1,0.1428571428571428
