question_text,document_title,language,annotations,document_plaintext,document_url,answer_start,answer_text,question_text_tokenized,document_plaintext_tokenized,answer_text_tokenized,labels
化学兵器禁止条約はどこで採択された？,化学兵器禁止条約,japanese,"{'answer_start': array([11]), 'answer_text': array(['パリ'], dtype=object)}",1993年1月13日にパリにおいて署名がなされ、1997年4月29日に発効した[1]。実効的な検証制度を有することも特徴であり[1]、条約の発効とともに、その第8条に基づき、オランダのハーグに査察実施機関の化学兵器禁止機関（OPCW）が設置された。,https://ja.wikipedia.org/wiki/%E5%8C%96%E5%AD%A6%E5%85%B5%E5%99%A8%E7%A6%81%E6%AD%A2%E6%9D%A1%E7%B4%84,[11],['パリ'],"['化学', '兵器', '禁止', '条約', 'は', 'どこ', 'で', '採択', 'さ', 'れ', 'た', '？']","['1993', '年', '1', '月', '13', '日', 'に', 'パリ', 'に', 'おい', 'て', '署名', 'が', 'なさ', 'れ', '、', '1997', '年', '4', '月', '29', '日', 'に', '発効', 'し', 'た', '[', '1', ']。', '実効', '的', 'な', '検証', '制度', 'を', '有する', 'こと', 'も', '特徴', 'で', 'あり', '[', '1', ']、', '条約', 'の', '発効', 'と', 'とも', 'に', '、', 'その', '第', '8', '条', 'に', '基づき', '、', 'オランダ', 'の', 'ハーグ', 'に', '査察', '実施', '機関', 'の', '化学', '兵器', '禁止', '機関', '（', 'OPCW', '）', 'が', '設置', 'さ', 'れ', 'た', '。']",['パリ'],1
オリヴィア・デ・ハヴィランドが生まれたのはいつ,オリヴィア・デ・ハヴィランド,japanese,"{'answer_start': array([46]), 'answer_text': array(['1916年7月1日'], dtype=object)}","
オリヴィア・デ・ハヴィランド（Dame Olivia De Havilland, DBE、1916年7月1日 - ）は、アメリカ合衆国の女優。女優としてのキャリア初期には清純な娘役を演じることが多かったが、キャリア後期には存在感のある重厚な役柄を演じている[1]。デ・ハヴィランドはイギリス人の両親の間に日本で生まれた。妹のジョーン・フォンテインも日本の生まれで、デ・ハヴィランドと同じく女優の道に進んでいる。1919年に一家は日本を離れて故国イギリスへと向かったが、旅の途中で姉妹が病にかかったため滞在中のカリフォルニアに、母子だけがそのまま移住した。",https://ja.wikipedia.org/wiki/%E3%82%AA%E3%83%AA%E3%83%B4%E3%82%A3%E3%82%A2%E3%83%BB%E3%83%87%E3%83%BB%E3%83%8F%E3%83%B4%E3%82%A3%E3%83%A9%E3%83%B3%E3%83%89,[46],['1916年7月1日'],"['オリヴィア', '・', 'デ', '・', 'ハヴィランド', 'が', '生まれ', 'た', 'の', 'は', 'いつ']","['オリヴィア', '・', 'デ', '・', 'ハヴィランド', '（', 'Dame', 'Olivia', 'De', 'Havilland', ',', 'DBE', '、', '1916', '年', '7', '月', '1', '日', '-', '）', 'は', '、', 'アメリカ', '合衆', '国', 'の', '女優', '。', '女優', 'と', 'し', 'て', 'の', 'キャリア', '初期', 'に', 'は', '清純', 'な', '娘役', 'を', '演じる', 'こと', 'が', '多かっ', 'た', 'が', '、', 'キャリア', '後期', 'に', 'は', '存在', '感', 'の', 'ある', '重厚', 'な', '役柄', 'を', '演じ', 'て', 'いる', '[', '1', ']。', 'デ', '・', 'ハヴィランド', 'は', 'イギリス', '人', 'の', '両親', 'の', '間', 'に', '日本', 'で', '生まれ', 'た', '。', '妹', 'の', 'ジョーン', '・', 'フォン', 'テイン', 'も', '日本', 'の', '生まれ', 'で', '、', 'デ', '・', 'ハヴィランド', 'と', '同じく', '女優', 'の', '道', 'に', '進ん', 'で', 'いる', '。', '1919', '年', 'に', '一家', 'は', '日本', 'を', '離れ', 'て', '故国', 'イギリス', 'へ', 'と', '向かっ', 'た', 'が', '、', '旅', 'の', '途中', 'で', '姉妹', 'が', '病', 'に', 'かかっ', 'た', 'ため', '滞在', '中', 'の', 'カリフォルニア', 'に', '、', '母子', 'だけ', 'が', 'その', 'まま', '移住', 'し', 'た', '。']","['1916', '年', '7', '月', '1', '日']",1
ゲームマスターとはどのような仕事内容ですか？,ゲームマスター,japanese,"{'answer_start': array([94]), 'answer_text': array(['ゲームの筋道（シナリオ）を用意し、プレイヤーをまとめつつ、ルールを運用し、ゲームを展開する'], dtype=object)}",テーブルトークRPG（TRPG）におけるゲームマスターは、参加者の1人でありながら、「ゲームの進行を取り仕切る」という映画の総監督および審判のような役回りになる。一般的にゲームマスターは、ゲームの筋道（シナリオ）を用意し、プレイヤーをまとめつつ、ルールを運用し、ゲームを展開する。,https://ja.wikipedia.org/wiki/%E3%82%B2%E3%83%BC%E3%83%A0%E3%83%9E%E3%82%B9%E3%82%BF%E3%83%BC,[94],['ゲームの筋道（シナリオ）を用意し、プレイヤーをまとめつつ、ルールを運用し、ゲームを展開する'],"['ゲーム', 'マスター', 'と', 'は', 'どの', 'よう', 'な', '仕事', '内容', 'です', 'か', '？']","['テーブル', 'トーク', 'RPG', '（', 'TRPG', '）', 'に', 'おけ', 'る', 'ゲーム', 'マスター', 'は', '、', '参加', '者', 'の', '1', '人', 'で', 'あり', 'ながら', '、', '「', 'ゲーム', 'の', '進行', 'を', '取り仕切る', '」', 'と', 'いう', '映画', 'の', '総', '監督', 'および', '審判', 'の', 'よう', 'な', '役回り', 'に', 'なる', '。', '一般', '的', 'に', 'ゲーム', 'マスター', 'は', '、', 'ゲーム', 'の', '筋道', '（', 'シナリオ', '）', 'を', '用意', 'し', '、', 'プレイヤー', 'を', 'まとめ', 'つつ', '、', 'ルール', 'を', '運用', 'し', '、', 'ゲーム', 'を', '展開', 'する', '。']","['ゲーム', 'の', '筋道', '（', 'シナリオ', '）', 'を', '用意', 'し', '、', 'プレイヤー', 'を', 'まとめ', 'つつ', '、', 'ルール', 'を', '運用', 'し', '、', 'ゲーム', 'を', '展開', 'する']",1
司馬遼太郎は作家になる前に、どのような職業についていましたか？？,司馬遼太郎,japanese,"{'answer_start': array([15]), 'answer_text': array(['記者'], dtype=object)}",大阪府大阪市生まれ。産経新聞社記者として在職中に、『梟の城』で直木賞を受賞。歴史小説に新風を送る。代表作に『竜馬がゆく』『燃えよ剣』『国盗り物語』『坂の上の雲』などがある。『街道をゆく』をはじめとする多数のエッセイなどでも活発な文明批評を行った。,https://ja.wikipedia.org/wiki/%E5%8F%B8%E9%A6%AC%E9%81%BC%E5%A4%AA%E9%83%8E,[15],['記者'],"['司馬', '遼太郎', 'は', '作家', 'に', 'なる', '前', 'に', '、', 'どの', 'よう', 'な', '職業', 'に', 'つい', 'て', 'い', 'まし', 'た', 'か', '？', '？']","['大阪', '府', '大阪', '市', '生まれ', '。', '産経', '新聞', '社', '記者', 'と', 'し', 'て', '在職', '中', 'に', '、', '『', '梟', 'の', '城', '』', 'で', '直木', '賞', 'を', '受賞', '。', '歴史', '小説', 'に', '新風', 'を', '送る', '。', '代表', '作', 'に', '『', '竜馬', 'が', 'ゆく', '』', '『', '燃えよ', '剣', '』', '『', '国', '盗り', '物語', '』', '『', '坂', 'の', '上', 'の', '雲', '』', 'など', 'が', 'ある', '。', '『', '街道', 'を', 'ゆく', '』', 'を', 'はじめ', 'と', 'する', '多数', 'の', 'エッセイ', 'など', 'で', 'も', '活発', 'な', '文明', '批評', 'を', '行っ', 'た', '。']",['記者'],1
ベルリンの壁は全長何メートルあった？,ベルリンの壁,japanese,"{'answer_start': array([7]), 'answer_text': array(['155km'], dtype=object)}","
壁の総延長は155kmに達した。1961年8月13日からほぼ1年で体積7,874m3のブロックから長さ約12キロの壁が建設された。その場所はベルリンでも最も複雑に入り組んだ中心部であった。西ベルリンを囲む残り137.5キロは田園地帯・牧草地帯・森林地帯・湖沼が多く、巻いた有刺鉄線の仕切りが二列に並べられた。この二列は間隔が70m開いた部分もあれば、地形や東西の住居の接近如何によってかなり狭まった部分もあった。やがて監視塔が設置され、拡張されて無人地帯となった。この無人地帯の総面積は49,000m2から55,000m2に及び、ほぼ1つの町の総面積に等しいものであった[11]:202。",https://ja.wikipedia.org/wiki/%E3%83%99%E3%83%AB%E3%83%AA%E3%83%B3%E3%81%AE%E5%A3%81,[7],['155km'],"['ベルリン', 'の', '壁', 'は', '全長', '何', 'メートル', 'あっ', 'た', '？']","['壁', 'の', '総', '延長', 'は', '155', 'km', 'に', '達し', 'た', '。', '1961', '年', '8', '月', '13', '日', 'から', 'ほぼ', '1', '年', 'で', '体積', '7', ',', '874', 'm', '3', 'の', 'ブロック', 'から', '長', 'さ', '約', '12', 'キロ', 'の', '壁', 'が', '建設', 'さ', 'れ', 'た', '。', 'その', '場所', 'は', 'ベルリン', 'で', 'も', '最も', '複雑', 'に', '入り組ん', 'だ', '中心', '部', 'で', 'あっ', 'た', '。', '西', 'ベルリン', 'を', '囲む', '残り', '137', '.', '5', 'キロ', 'は', '田園', '地帯', '・', '牧草', '地帯', '・', '森林', '地帯', '・', '湖沼', 'が', '多く', '、', '巻い', 'た', '有刺', '鉄線', 'の', '仕切り', 'が', '二', '列', 'に', '並べ', 'られ', 'た', '。', 'この', '二', '列', 'は', '間隔', 'が', '70', 'm', '開い', 'た', '部分', 'も', 'あれ', 'ば', '、', '地形', 'や', '東西', 'の', '住居', 'の', '接近', '如何', 'に', 'よっ', 'て', 'かなり', '狭まっ', 'た', '部分', 'も', 'あっ', 'た', '。', 'やがて', '監視', '塔', 'が', '設置', 'さ', 'れ', '、', '拡張', 'さ', 'れ', 'て', '無人', '地帯', 'と', 'なっ', 'た', '。', 'この', '無人', '地帯', 'の', '総', '面積', 'は', '49', ',', '000', 'm', '2', 'から', '55', ',', '000', 'm', '2', 'に', '及び', '、', 'ほぼ', '1', 'つ', 'の', '町', 'の', '総', '面積', 'に', '等しい', 'もの', 'で', 'あっ', 'た', '[', '11', ']:', '202', '。']","['155', 'km']",1
ダニエル・レイ・エインジはどこのプロ野球チームに所属した？,ダニー・エインジ,japanese,"{'answer_start': array([202]), 'answer_text': array(['トロント・ブルージェイズ'], dtype=object)}","ダニエル・レイ・エインジ（Daniel Ray Ainge, 1959年3月17日 - ）はオレゴン州ユージーン出身[1]の元バスケットボール選手で元プロ野球選手（内野手）。現役時代はNBAでプレイし、1980年代に黄金期を築いたボストン・セルティックスやフェニックス・サンズなどで活躍した。現役引退後は指導者に転向し、現在はセルティックスでジェネラル・マネージャーを務めている。野球選手としてはMLBのトロント・ブルージェイズでプレイしており、NBAとMLBの二大リーグでプレイしたことがある稀有な存在である。甥のエリック・エインジは2008年のNFLドラフトでニューヨーク・ジェッツに指名されて入団した。",https://ja.wikipedia.org/wiki/%E3%83%80%E3%83%8B%E3%83%BC%E3%83%BB%E3%82%A8%E3%82%A4%E3%83%B3%E3%82%B8,[202],['トロント・ブルージェイズ'],"['ダニエル', '・', 'レイ', '・', 'エインジ', 'は', 'どこ', 'の', 'プロ', '野球', 'チーム', 'に', '所属', 'し', 'た', '？']","['ダニエル', '・', 'レイ', '・', 'エインジ', '（', 'Daniel', 'Ray', 'Ainge', ',', '1959', '年', '3', '月', '17', '日', '-', '）', 'は', 'オレゴン', '州', 'ユージーン', '出身', '[', '1', ']', 'の', '元', 'バスケットボール', '選手', 'で', '元', 'プロ', '野球', '選手', '（', '内野', '手', '）', '。', '現役', '時代', 'は', 'NBA', 'で', 'プレイ', 'し', '、', '1980', '年', '代', 'に', '黄金', '期', 'を', '築い', 'た', 'ボストン', '・', 'セルティックス', 'や', 'フェニックス', '・', 'サンズ', 'など', 'で', '活躍', 'し', 'た', '。', '現役', '引退', '後', 'は', '指導', '者', 'に', '転向', 'し', '、', '現在', 'は', 'セルティックス', 'で', 'ジェネラル', '・', 'マネージャー', 'を', '務め', 'て', 'いる', '。', '野球', '選手', 'と', 'し', 'て', 'は', 'MLB', 'の', 'トロント', '・', 'ブルー', 'ジェイズ', 'で', 'プレイ', 'し', 'て', 'おり', '、', 'NBA', 'と', 'MLB', 'の', '二', '大', 'リーグ', 'で', 'プレイ', 'し', 'た', 'こと', 'が', 'ある', '稀有', 'な', '存在', 'で', 'ある', '。', '甥', 'の', 'エリック', '・', 'エインジ', 'は', '2008', '年', 'の', 'NFL', 'ドラフト', 'で', 'ニューヨーク', '・', 'ジェッツ', 'に', '指名', 'さ', 'れ', 'て', '入団', 'し', 'た', '。']","['トロント', '・', 'ブルー', 'ジェイズ']",1
イスラエルの公用語はなんですか？,イスラエル,japanese,"{'answer_start': array([99]), 'answer_text': array(['ヘブライ語'], dtype=object)}",2018年7月19日、イスラエル議会は、イスラエルを「ユダヤ人の国家」と定義する法案の採決を行い、これを採択した[86]。この「ユダヤ国民国家法」はエルサレムを「統一された首都」と位置づけ、公用語はヘブライ語のみとしてアラビア語を除外した。このためアラブ系議員らは抗議し、賛成62人、反対55人だった[87]。,https://ja.wikipedia.org/wiki/%E3%82%A4%E3%82%B9%E3%83%A9%E3%82%A8%E3%83%AB,[99],['ヘブライ語'],"['イスラエル', 'の', '公用', '語', 'は', 'なん', 'です', 'か', '？']","['2018', '年', '7', '月', '19', '日', '、', 'イスラエル', '議会', 'は', '、', 'イスラエル', 'を', '「', 'ユダヤ', '人', 'の', '国家', '」', 'と', '定義', 'する', '法', '案', 'の', '採決', 'を', '行い', '、', 'これ', 'を', '採択', 'し', 'た', '[', '86', ']。', 'この', '「', 'ユダヤ', '国民', '国家', '法', '」', 'は', 'エルサレム', 'を', '「', '統一', 'さ', 'れ', 'た', '首都', '」', 'と', '位置', 'づけ', '、', '公用', '語', 'は', 'ヘブライ', '語', 'のみ', 'と', 'し', 'て', 'アラビア', '語', 'を', '除外', 'し', 'た', '。', 'この', 'ため', 'アラブ', '系', '議員', 'ら', 'は', '抗議', 'し', '、', '賛成', '62', '人', '、', '反対', '55', '人', 'だっ', 'た', '[', '87', ']。']","['ヘブライ', '語']",1
ダビド・フェレール・エルンの得意とするコートは何？,ダビド・フェレール,japanese,"{'answer_start': array([141]), 'answer_text': array(['クレーコート'], dtype=object)}",上位選手陣でも屈指のリターナーで、強靭なフットワーク、およびスタミナを持つベースライナー。フォア、バックハンドともにコンパクトで粘り強いストロークをする。身長175cmと小柄ながらもここぞという時に力強いウィナーを放ち、フットワークを生かしたネットプレーも得意。ベースライナーのためクレーコートを最も得意とするが、他のコートを苦手としているということは無く、どのサーフェスでも高水準で安定したプレーが出来る。これが長い間上位ランキングをキープしていることに繋がっている。[2][3],https://ja.wikipedia.org/wiki/%E3%83%80%E3%83%93%E3%83%89%E3%83%BB%E3%83%95%E3%82%A7%E3%83%AC%E3%83%BC%E3%83%AB,[141],['クレーコート'],"['ダビド', '・', 'フェレール', '・', 'エルン', 'の', '得意', 'と', 'する', 'コート', 'は', '何', '？']","['上位', '選手', '陣', 'で', 'も', '屈指', 'の', 'リターナー', 'で', '、', '強靭', 'な', 'フットワーク', '、', 'および', 'スタミナ', 'を', '持つ', 'ベース', 'ライナー', '。', 'フォア', '、', 'バックハンド', 'とも', 'に', 'コンパクト', 'で', '粘り強い', 'ストローク', 'を', 'する', '。', '身長', '175', 'cm', 'と', '小柄', 'ながら', 'も', 'ここ', 'ぞ', 'と', 'いう', '時', 'に', '力強い', 'ウィナー', 'を', '放ち', '、', 'フットワーク', 'を', '生かし', 'た', 'ネット', 'プレー', 'も', '得意', '。', 'ベース', 'ライナー', 'の', 'ため', 'クレー', 'コート', 'を', '最も', '得意', 'と', 'する', 'が', '、', '他', 'の', 'コート', 'を', '苦手', 'と', 'し', 'て', 'いる', 'と', 'いう', 'こと', 'は', '無く', '、', 'どの', 'サーフェス', 'で', 'も', '高', '水準', 'で', '安定', 'し', 'た', 'プレー', 'が', '出来る', '。', 'これ', 'が', '長い', '間', '上位', 'ランキング', 'を', 'キープ', 'し', 'て', 'いる', 'こと', 'に', '繋がっ', 'て', 'いる', '。', '[', '2', '][', '3', ']']","['クレー', 'コート']",1
火力発電はいつから始まった？,火力発電所,japanese,"{'answer_start': array([28]), 'answer_text': array(['1882年9月'], dtype=object)}",世界初の商用発電所は、トーマス・エジソンにより建設され、1882年9月から稼働したニューヨーク・マンハッタンのパール・ストリートの火力発電所であった。当時の動力は石炭燃料による175HPの往復動式蒸気機関であった。電灯需要地に近いエリアへ直流送電するため都市内に建設されたものである。,https://ja.wikipedia.org/wiki/%E7%81%AB%E5%8A%9B%E7%99%BA%E9%9B%BB%E6%89%80,[28],['1882年9月'],"['火力', '発電', 'は', 'いつ', 'から', '始まっ', 'た', '？']","['世界', '初', 'の', '商用', '発電', '所', 'は', '、', 'トーマス', '・', 'エジソン', 'に', 'より', '建設', 'さ', 'れ', '、', '1882', '年', '9', '月', 'から', '稼働', 'し', 'た', 'ニューヨーク', '・', 'マンハッタン', 'の', 'パール', '・', 'ストリート', 'の', '火力', '発電', '所', 'で', 'あっ', 'た', '。', '当時', 'の', '動力', 'は', '石炭', '燃料', 'に', 'よる', '175', 'HP', 'の', '往復', '動', '式', '蒸気', '機関', 'で', 'あっ', 'た', '。', '電灯', '需要', '地', 'に', '近い', 'エリア', 'へ', '直流', '送電', 'する', 'ため', '都市', '内', 'に', '建設', 'さ', 'れ', 'た', 'もの', 'で', 'ある', '。']","['1882', '年', '9', '月']",1
『ユリシーズ』の主人公の職業は何？,ジェイムズ・ジョイス,japanese,"{'answer_start': array([71]), 'answer_text': array(['広告取り'], dtype=object)}","『ユリシーズ』
（詳細は別項『ユリシーズ』を参照）
1906年に『ダブリン市民』を完成させたジョイスは、レオポルド・ブルームという名のユダヤ人広告取りを主人公とする「ユリシーズ」というタイトルの短篇をそれに追加することを考えた。この計画は続行されなかったが、1914年にはタイトルと基本構想を同じくする長編小説に取り組みはじめる。1921年10月に執筆を終えたのち校正刷りに3ヶ月かけて取り組み、自ら定めた締め切りである40歳の誕生日（1922年2月2日）の直前に完成させた。
エズラ・パウンドの尽力により、1918年から「The Little Review」誌での連載が開始。この雑誌は同時代の実験的な芸術や文学に関心を寄せるニューヨークの弁護士ジョン・クインの支援のもとにマーガレット・アンダーソンとジョン・ヒープによって編集されたものである。『ユリシーズ』はアメリカ合衆国で検閲に引っかかり、1921年に猥褻文書頒布の咎でアンダーソンとヒープに有罪判決が下ったのを受けて連載は中断の憂き目に会う。アメリカで発禁処分が解かれるのは1933年のことである。",https://ja.wikipedia.org/wiki/%E3%82%B8%E3%82%A7%E3%82%A4%E3%83%A0%E3%82%BA%E3%83%BB%E3%82%B8%E3%83%A7%E3%82%A4%E3%82%B9,[71],['広告取り'],"['『', 'ユリシーズ', '』', 'の', '主人', '公', 'の', '職業', 'は', '何', '？']","['『', 'ユリシーズ', '』', '（', '詳細', 'は', '別項', '『', 'ユリシーズ', '』', 'を', '参照', '）', '1906', '年', 'に', '『', 'ダブリン', '市民', '』', 'を', '完成', 'さ', 'せ', 'た', 'ジョイス', 'は', '、', 'レオポルド', '・', 'ブルーム', 'と', 'いう', '名', 'の', 'ユダヤ', '人', '広告', '取り', 'を', '主人', '公', 'と', 'する', '「', 'ユリシーズ', '」', 'と', 'いう', 'タイトル', 'の', '短篇', 'を', 'それ', 'に', '追加', 'する', 'こと', 'を', '考え', 'た', '。', 'この', '計画', 'は', '続行', 'さ', 'れ', 'なかっ', 'た', 'が', '、', '1914', '年', 'に', 'は', 'タイトル', 'と', '基本', '構想', 'を', '同じく', 'する', '長編', '小説', 'に', '取り組み', 'はじめる', '。', '1921', '年', '10', '月', 'に', '執筆', 'を', '終え', 'た', 'のち', '校正', '刷り', 'に', '3', 'ヶ月', 'かけ', 'て', '取り組み', '、', '自ら', '定め', 'た', '締め切り', 'で', 'ある', '40', '歳', 'の', '誕生', '日', '（', '1922', '年', '2', '月', '2', '日', '）', 'の', '直前', 'に', '完成', 'さ', 'せ', 'た', '。', 'エズラ', '・', 'パウンド', 'の', '尽力', 'に', 'より', '、', '1918', '年', 'から', '「', 'The', 'Little', 'Review', '」', '誌', 'で', 'の', '連載', 'が', '開始', '。', 'この', '雑誌', 'は', '同', '時代', 'の', '実験', '的', 'な', '芸術', 'や', '文学', 'に', '関心', 'を', '寄せる', 'ニューヨーク', 'の', '弁護', '士', 'ジョン', '・', 'クイン', 'の', '支援', 'の', 'もと', 'に', 'マーガレット', '・', 'アンダーソン', 'と', 'ジョン・ヒープ', 'に', 'よっ', 'て', '編集', 'さ', 'れ', 'た', 'もの', 'で', 'ある', '。', '『', 'ユリシーズ', '』', 'は', 'アメリカ', '合衆', '国', 'で', '検閲', 'に', '引っかかり', '、', '1921', '年', 'に', '猥褻', '文書', '頒布', 'の', '咎', 'で', 'アンダーソン', 'と', 'ヒープ', 'に', '有罪', '判決', 'が', '下っ', 'た', 'の', 'を', '受け', 'て', '連載', 'は', '中断', 'の', '憂き目', 'に', '会う', '。', 'アメリカ', 'で', '発禁', '処分', 'が', '解か', 'れる', 'の', 'は', '1933', '年', 'の', 'こと', 'で', 'ある', '。']","['広告', '取り']",1
